id,Trans_id,stations,color,walktime,description
0,0,",Blue,Line",#2040AA,2,Maverick
0,1,",114,116,117,120,121",#F5C00E,2,Maverick
1,0,",Blue,Line",#2040AA,2,Maverick
1,1,",114,116,117,120,121",#F5C00E,2,Maverick
2,0,",57,501",#F5C00E,5,"Tremont St @ Washington St"
2,1,",64",#F5C00E,5,"Faneuil St @ Bigelow St"
3,0,",64",#F5C00E,6,"Brooks St @ Faneuil St"
3,1,",57,501",#F5C00E,8,"Washington St @ Foster St"
3,2,",86",#F5C00E,9,"Market St @ Sparhawk St"
4,0,",64",#F5C00E,6,"Brooks St @ Faneuil St"
4,1,",57,501",#F5C00E,8,"Washington St @ Foster St"
4,2,",86",#F5C00E,9,"Market St @ Sparhawk St"
5,0,",64",#F5C00E,6,"Brooks St @ Faneuil St"
5,1,",57,501",#F5C00E,8,"Washington St @ Foster St"
5,2,",86",#F5C00E,9,"Market St @ Sparhawk St"
6,0,",B",#00843D,7,"Allston Street"
6,1,",Framingham/Worcester,Line",#80276c,10,"Boston Landing"
6,2,",51,57,66,501",f2bd2a,3,"Cambridge St @ Barrows St"
7,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
7,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
7,2,",101",#F5C00E,10,"Main St @ Broadway"
8,0,",57,501",#F5C00E,5,"Tremont St @ Washington St"
8,1,",64",#F5C00E,5,"Faneuil St @ Bigelow St"
9,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
9,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
9,2,",101",#F5C00E,10,"Main St @ Broadway"
10,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
10,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
10,2,",101",#F5C00E,10,"Main St @ Broadway"
11,0,",Red,LIne",#EC211F,8,"JFK / UMass"
11,1,",Greenbush/Kingston",#8E44AD,8,"JFK / UMass"
11,2,",Middleborough/Lakeville",#8E44AD,8,"JFK / UMass"
11,3,",8,16,41",#EB841E,8,"JFK / UMass"
11,4,",18",#EB841E,2,"Dorchster Ave @ Howes St"
12,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
12,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
12,2,",101",#F5C00E,10,"Main St @ Broadway"
13,0,",80",#F5C00E,1,"Medford St @ Glenwood Rd"
13,1,",89,89/93",#F5C00E,5,"Broadway @ Medford St - Magoun Sq"
13,2,",101",#F5C00E,10,"Main St @ Broadway"
14,0,",Fairmount/Franklin",#8E44AD,8,"Uphams Corner"
14,1,",Red,Line",#DA1721,15,"JFK / UMass"
14,2,",Greenbush/Kingston",#8E44AD,15,"JFK / UMass"
14,3,",Middleborough/Lakeville",#8E44AD,15,"JFK / UMass"
15,0,",57,501",#F5C00E,5,"Tremont St opp Cufflin St"
15,1,",64",#F5C00E,7,"Faneuil St @ Bigelow St"
16,0,",B",#00843D,7,"Allston Street"
16,1,",Framingham/Worcester,Line",#80276c,10,"Boston Landing"
16,2,",51,57,66,501",f2bd2a,3,"Cambridge St @ Barrows St"
17,0,",23",#F5C00E,1,"Washington St @ Columbia Rd"
17,1,",16,19",#F5C00E,1,"Columbia Rd @ Washington St"
17,2,",Franklin/Fairmount,Line",#80276c,3,"Four Corners/Geneva"
18,0,",57,501",#F5C00E,5,"Tremont St @ Washington St"
18,1,",64",#F5C00E,5,"Faneuil St @ Bigelow St"
